City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,merizo village,13.2658,144.6691,28.32,92,100,11.03,GU,1697129158
234,saint-pierre,-21.3393,55.4781,23.82,78,100,2.06,RE,1697129158
235,hartsville,34.374,-80.0734,16.68,98,100,5.14,US,1697129007
236,baley,51.6,116.6333,5.02,57,9,2.89,RU,1697129158
237,kruisfontein,-34.0033,24.7314,14.85,82,77,9.02,ZA,1697129155
238,karratha,-20.7377,116.8463,26.85,53,2,4.18,AU,1697129159
239,naze,28.3667,129.4833,23.51,77,65,6.94,JP,1697129159
240,kralendijk,12.15,-68.2667,33.99,55,40,7.72,BQ,1697129160
241,isna,25.2934,32.554,30.01,24,0,6.73,EG,1697129160
242,khandyga,62.6667,135.6,-2.09,98,100,1.12,RU,1697129160
243,broken hill,-31.95,141.4333,10.45,66,0,7.16,AU,1697128951
244,ivdel',60.6911,60.4206,3.99,59,100,3.58,RU,1697129161
245,pingliang,35.5392,106.6861,10.36,80,100,2.43,CN,1697129161
246,domoni,-12.2569,44.5319,26.15,76,20,1.08,KM,1697129162
247,conthey,46.2253,7.3037,20.93,56,0,1.03,CH,1697129162
248,ploneour-lanvern,47.9,-4.2833,19.18,94,100,4.12,FR,1697129162
249,ejutla de crespo,16.5667,-96.7333,22.53,38,79,1.69,MX,1697129163
250,wodonga,-36.1167,146.8833,6.82,98,19,1.79,AU,1697129163
251,arraial do cabo,-22.9661,-42.0278,32.98,66,0,8.23,BR,1697129069
252,baikunthpur,23.25,82.55,23.04,66,47,0.92,IN,1697129164
253,nanaimo,49.1663,-123.936,11.87,94,20,1.54,CA,1697128924
254,tarfaya,27.9358,-12.9218,23.98,71,33,6.07,MA,1697129164
255,micoud,13.8167,-60.9,29.56,83,60,0.45,LC,1697129165
256,atafu village,-8.5421,-172.5159,28.71,76,14,6.13,TK,1697129148
257,sola,-13.8833,167.55,25.45,82,93,9.7,VU,1697129165
258,pocatello,42.8713,-112.4455,6.21,89,75,7.2,US,1697129165
259,suva,-18.1416,178.4415,20.71,94,75,1.03,FJ,1697129166
260,masuguru,-11.3667,38.4167,33.01,27,75,2.11,TZ,1697129166
261,cabo san lucas,22.8909,-109.9124,30.9,61,0,8.23,MX,1697129167
262,hirara,24.8,125.2833,25.15,78,75,5.14,JP,1697129167
